"filename", "language", "Markdown", "Ini", "Swift", "JSON with Comments", "C++", "YAML", "CMake", "XML", "JSON", "Dart", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\l10n.yaml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 44
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_fr.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 44
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 216, 54, 367
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 3, 41, 134
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_fr.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 3, 41, 136
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_pt.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 3, 41, 134
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_pt.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\l10n.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 2, 5, 54
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\bluetoothmodule.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 26, 32, 181
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\generalvalues.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 5, 8
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\localenotifer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 7, 17
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\circularloading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 6, 40
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\normalalert.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 6, 30
